review_title,review_rating,review_date,review_body,user_contributions,review_short_date,review_year,review_month,review_title_length,review_length,overall_sentiment,tokens
snazzy luxury and great staff still working out the offerings,Very Good,2023-06-01,impressive modernity with many bells and whistles staff attentive and competent breakfast buffet amazing two offerings comments the pool was a small plunge pool more like a large bathtub and they were cagey about open restaurants the one still in reviews was closed for renovations worth a change from the typical high end hotels in older buildings ,209,June 2023,2023,June,10,57,positive,"['impressive', 'modernity', 'many', 'bells', 'whistles', 'staff', 'attentive', 'competent', 'breakfast', 'buffet', 'amazing', 'two', 'offerings', 'comments', 'pool', 'small', 'plunge', 'pool', 'like', 'large', 'bathtub', 'cagey', 'open', 'restaurants', 'one', 'still', 'reviews', 'closed', 'renovations', 'worth', 'change', 'typical', 'high', 'end', 'hotels', 'older', 'buildings']"
avoid this hotel,Poor,2023-10-01,no way this is a 5 star hotel ugly design tiny rooms pictures are highly deceptive pool is tiny spa is low quality silly expensive for what you get then they used a ridiculous exchange rate when converting from eur to usd when billing me ,2,October 2023,2023,October,3,45,negative,"['way', 'star', 'hotel', 'ugly', 'design', 'tiny', 'rooms', 'pictures', 'highly', 'deceptive', 'pool', 'tiny', 'spa', 'low', 'quality', 'silly', 'expensive', 'get', 'used', 'ridiculous', 'exchange', 'rate', 'converting', 'eur', 'usd', 'billing']"
great hotel ,Excellent,2023-09-01,the hotel was in a convenient location to what we planned on doing throughout our trip hotel staff was very friendly and the hotel itself was clean our room was spacious and comfortable the fitness center is everything you could ask for in a hotel and gym and then some we would definitely stay here again if our travels bring us back to naples ,10,September 2023,2023,September,2,64,positive,"['hotel', 'convenient', 'location', 'planned', 'throughout', 'trip', 'hotel', 'staff', 'friendly', 'hotel', 'clean', 'room', 'spacious', 'comfortable', 'fitness', 'center', 'everything', 'could', 'ask', 'hotel', 'gym', 'would', 'definitely', 'stay', 'travels', 'bring', 'back', 'naples']"
artistic elegance,Excellent,2023-10-01,nothing but the best ambiance decor comfort and amenities coupled with hip art throughout the facility the concierge was friendly and helpful and the breakfast top notch with delicious fresh pastries we spoiled ourselves and enjoyed every minute ,1,October 2023,2023,October,2,38,positive,"['nothing', 'best', 'ambiance', 'decor', 'comfort', 'amenities', 'coupled', 'hip', 'art', 'throughout', 'facility', 'concierge', 'friendly', 'helpful', 'breakfast', 'top', 'notch', 'delicious', 'fresh', 'pastries', 'spoiled', 'enjoyed', 'every', 'minute']"
nice place,Excellent,2023-10-01,overall beautiful property with very helpful staff location is perfect to explore naples price is very high but for naples we are glad we splurged and saw as much as we did the ferry launch to capri was literally right in front of the property,1,October 2023,2023,October,2,45,positive,"['overall', 'beautiful', 'property', 'helpful', 'staff', 'location', 'perfect', 'explore', 'naples', 'price', 'high', 'naples', 'glad', 'splurged', 'saw', 'much', 'ferry', 'launch', 'capri', 'literally', 'right', 'front', 'property']"
did not live up to expectations,Poor,2023-09-01,i was eager and excited about staying at this hotel the photos online looked amazing the front desk staff was exceptional however the rest of the wait staff continuously underperformed and 8 out of 10 times got our bar orders wrong the pool area was pitiful the lobby and hotel itself looked nice but it was sadly a case of looks are deceiving ,1,September 2023,2023,September,6,63,negative,"['eager', 'excited', 'staying', 'hotel', 'photos', 'online', 'looked', 'amazing', 'front', 'desk', 'staff', 'exceptional', 'however', 'rest', 'wait', 'staff', 'continuously', 'underperformed', 'times', 'got', 'bar', 'orders', 'wrong', 'pool', 'area', 'pitiful', 'lobby', 'hotel', 'looked', 'nice', 'sadly', 'case', 'looks', 'deceiving']"
not one bit of storage space ,Average,2023-09-01,the hotel is lovely and the people on the staff were helpful and very pleasant but the room size and room accommodations were terrible there was two small drawers for our clothes in the closet so you must live out of your suitcase then there was no room to store the suitcases and so they were in our way in the small hallway every time we had to leave the room folded clothes and paraphernalia had to be left all over the table and desk so the room always looked messy we had a view looking over mt vesuvius which was very lovely at least this gave us the feeling of more space ,1,September 2023,2023,September,6,113,positive,"['hotel', 'lovely', 'people', 'staff', 'helpful', 'pleasant', 'room', 'size', 'room', 'accommodations', 'terrible', 'two', 'small', 'drawers', 'clothes', 'closet', 'must', 'live', 'suitcase', 'room', 'store', 'suitcases', 'way', 'small', 'hallway', 'every', 'time', 'leave', 'room', 'folded', 'clothes', 'paraphernalia', 'left', 'table', 'desk', 'room', 'always', 'looked', 'messy', 'view', 'looking', 'vesuvius', 'lovely', 'least', 'gave', 'feeling', 'space']"
lovely hotel in so so location,Excellent,2023-09-01,spa wonderful best massage i ever had two hours each day in pools and heat rooms included we used them every day michelin star restaurant was gracious lovely and reasonable location near harbor a bit iffy but i m not sure where in naples would be better,6,September 2023,2023,September,6,47,positive,"['spa', 'wonderful', 'best', 'massage', 'ever', 'two', 'hours', 'day', 'pools', 'heat', 'rooms', 'included', 'used', 'every', 'day', 'michelin', 'star', 'restaurant', 'gracious', 'lovely', 'reasonable', 'location', 'near', 'harbor', 'bit', 'iffy', 'sure', 'naples', 'would', 'better']"
comfort and convenience with artsy flair in naples,Excellent,2023-06-01,deserves high praise for convenience cleanliness and interesting decor with warm hospitality and smiling service taking a return flight to ny through naples after visiting the puglia region an easy drive to we decided to spend a couple of days in this vibrant city ,73,June 2023,2023,June,8,44,positive,"['deserves', 'high', 'praise', 'convenience', 'cleanliness', 'interesting', 'decor', 'warm', 'hospitality', 'smiling', 'service', 'taking', 'return', 'flight', 'naples', 'visiting', 'puglia', 'region', 'easy', 'drive', 'decided', 'spend', 'couple', 'days', 'vibrant', 'city']"
great hotel in naples,Very Good,2023-07-01,the staff was friendly the rooms are clean and modern the spa with the salt room was one of our favorite things here easy walking to everything the hotel is a stark contrast to naples clean modern a great place to end your day ,1,July 2023,2023,July,4,44,positive,"['staff', 'friendly', 'rooms', 'clean', 'modern', 'spa', 'salt', 'room', 'one', 'favorite', 'things', 'easy', 'walking', 'everything', 'hotel', 'stark', 'contrast', 'naples', 'clean', 'modern', 'great', 'place', 'end', 'day']"
