review_title,review_rating,review_date,review_body,user_contributions
Snazzy luxury and great staff -- still working out the offerings,40,Date of stay: June 2023,"Impressive modernity with many bells and whistles. Staff attentive and competent. Breakfast buffet amazing. Two offerings comments: the pool was a small plunge pool (more like a large bathtub), and they were cagey about open restaurants (the one still in reviews was closed for renovations). Worth a change from the typical high-end hotels in older buildings.",209
Avoid this hotel,20,Date of stay: October 2023,No way this is a 5 star hotel. Ugly design. Tiny rooms. Pictures are highly deceptive. Pool is tiny. Spa is low quality. Silly expensive for what you get. Then they used a ridiculous exchange rate when converting from EUR to USD when billing me.,2
Great hotel!,50,Date of stay: September 2023,The hotel was in a convenient location to what we planned on doing throughout our trip. Hotel staff was very friendly and the hotel itself was clean. Our room was spacious and comfortable. The fitness center is everything you could ask for in a hotel and gym and then some! We would definitely stay here again if our travels bring us back to Naples.,10
Artistic Elegance,50,Date of stay: October 2023,"Nothing but the best ambiance, decor, comfort, and amenities coupled with hip art throughout the facility. The concierge was friendly and helpful and the breakfast top notch with delicious fresh pastries. We spoiled ourselves and enjoyed every minute!",1
Nice Place,50,Date of stay: October 2023,Overall beautiful property with very helpful staff. Location is perfect to explore Naples. Price is very high but for Naples we are glad we splurged and saw as much as we did. The ferry launch to Capri was literally right in front of the property,1
Did not live up to expectations,20,Date of stay: September 2023,"I was eager and excited about staying at this hotel. The photos online looked amazing. The front desk staff was exceptional, however the rest of the wait staff continuously underperformed and 8 out of 10 times got our bar orders wrong. The pool area was pitiful. The lobby and hotel itself looked nice but it was sadly a case of looks are deceiving.",1
Not one bit of storage space.,30,Date of stay: September 2023,"The hotel is lovely and the people on the staff were helpful and very pleasant. But the room size and room accommodations were terrible. There was two small drawers for our clothes in the closet so you must live out of your suitcase. Then, there was no room to store the suitcases, and so they were in our way in the small hallway every time we had to leave the room. Folded clothes and paraphernalia had to be left all over the table and desk, so the room always looked messy. We had a view looking over Mt. Vesuvius which was very lovely. At least this gave us the feeling of more space.",1
Lovely hotel in so-so location,50,Date of stay: September 2023,"Spa wonderful. Best massage I ever had. Two hours each day in pools and heat rooms included. We used them every day. Michelin star restaurant was gracious, lovely and reasonable. Location near harbor a bit iffy but I’m not sure where in Naples would be better",6
Comfort and Convenience with Artsy Flair in Naples,50,Date of stay: June 2023,"Deserves high praise for convenience, cleanliness and interesting decor with warm hospitality and smiling service. Taking a return flight to NY through Naples after visiting the Puglia region, an easy drive to, we decided to spend a couple of days in this vibrant city.",73
Great hotel in Naples,40,Date of stay: July 2023,"The staff was friendly. The rooms are clean and modern. The spa with the salt room was one of our favorite things here. Easy walking to everything. The hotel is a stark contrast to Naples...clean, modern, a great place to end your day.",1
"Pricey, but nice",50,Date of stay: September 2023,"We stayed at Romeo Napoli towards the end of our honeymoon. The deluxe front room was quite nice, with nice amenities and the most comfortable bed we stayed in during our 2 week visit to Italy. The room itself had a lot of ""smart"" features, which took a moment to figure out, but was great. The location is adjacent to the port and walking distance to the cruise terminal. We were in Ischia prior to arriving in Napoli, and the close proximity was excellent. Please note that this is a pretty industrial port. You're not going to have a Positano-esque view from your room. That said, the view in the breakfast area was pretty cool. We watched a thunderstorm roll in up there. Seeing some lightning strike around Vesuvio felt like something out of Roman mythology. The staff was very…",7
Very happy I made this choice,50,Date of stay: September 2023,If you are going to stay here book a junior corner suite. The hotel is beautifully appointed. Slightly quirky in some of its decor in common areas. The people at reception are happy and smiling all the time. Breakfast is excellent. The pool is small but fine if you want to take a dip. We wouldn’t hesitate to stay there again. The surrounding area is a bit rough but there are great restaurants on the doorstep.,15
Pretentious and poor service,10,Date of stay: September 2023,"I normally would not submit a bad review, but most of the employees at this hotel were incredibly pretentious and rude and the drink and door service was very poor, which is a shame since the breakfast food was great. The 90EUR credit they offered seemed great, but then at 30EUR for a 4oz glass of wine it feels like a scam. We were so put off, we decided not to eat in their 1 Michelin Star restaurant, which they were quick to tell us about again and again. Someone should be reconsidering their Michelin Star.",64
Worth the $,50,Date of stay: September 2023,"The room was nice, the hotel staff was great- especially Andrea- he was very helpful and made some great recommendations for us. Being able to use the spa facilities was a huge plus, especially after flying in and with any down time we had. Breakfast was really good . Would stay here again.",13
Cozy like a railroad flat,30,Date of stay: September 2023,"The staff is super, no complaint there. The food was wonderful, both breakfast an a snack at the bar, so no complaint there. The location is a bit funky but extremely convenient to everything we choose to do. So again no complaint there. So why the three stars instead of four or five? The architect/designer clearly never spent a night at his creation. The rooms are cruise ship small. The closet space could not accommodate our reasonable amount of clothing. We kept our belongings in our luggage for the most part. There were only two small drawers for clothing. Oh and nowhere to store your luggage. They lined our narrow entry alleyway. The number of times I stubbed my toe or wacked my shin in the six days of our stay were in the high two figures. But you can’t open the teeny…",78
Birthday trip,50,Date of stay: August 2023,"Fabulous hotel. It’s not perhaps the prettiest location overlooking a busy port, but we loved it. Harbour view room - 507- watching cruise ships, ferries, hydrofoils etc. Room is compact but super comfy. Breakfast on 9th floor is fab - excellent staff. Lovely pool - it’s not big but it’s a city hotel. It’s a super chic hotel with excellent staff. The one negative comment would be - be careful when you order drinks! We did get a surprise which put us off a bit. Also amazing spa/gym. Also birthday celebration and were presented with the most amazing tasting cake at breakfast & the birthday boy said best ever cake he’s eaten. Wow - it was amazing",95
Wonderful hotel!,50,Date of stay: August 2023,"Absolutely amazing hotel! The area is eh, but the staff, the facilities, the breakfast, everything was so great. If you have to spend a night in Napoli, I would absolutely recommend this hotel. Chiara, I believe the manager, was extremely accommodating and helpful!",8
"Terrific hotel, facilities, people",50,Date of stay: July 2023,"Had a wonderful stay with the family. Rezervations and front office staff arranged all our plans for site visits and trips in the area. Fabulous design and art. Very central High quality in everything; people, rooms, food, experience From reservations, reception, concierge, bellboys, waiters, to housekeeping, everyone very competent and professional Our children who are basically adults now were very happy as well. Adult and quiet place - Might not be ideal for young children Would visit other properties if they open them Would come back again",1
"Great location, great gym, excellent pastry!",40,Date of stay: July 2023,"The breakfast buffet has great pastries - sfogliatella, Roman cream bun, mini strawberry tarts and the list goes on. For us, this was the highlight. With a Michelin star restaurant we expected the pastry to be good and we weren’t disappointed! The coffee is well made and tastes good. With all that eating, we were so pleased to see this hotel had a large, very well equipped gym. The gym contains techno gym equipment and proper weights! It’s one of the best gyms we have visited at a five star hotel in Italy. The reception and downstairs staff are friendly. We thought the location was great. It’s easy to walk around the centre of Naples and the hotel faces the harbor where the big cruise ships dock. One small thing - one morning we had breakfast around 9.30am and it was very…",299
Hotel Romeo saved the trip!,50,Date of stay: July 2023,"Hotel Romeo was a bit out of our price range so we didn’t originally book here. My sister and I were traveling through Europe for 3 weeks and Naples was the last stop. After checking in at another hotel where it did not live up to its photos in many ways and also didn’t uphold the marina view room price we booked, we called Hotel Romeo. They had limited rooms left but were able to work with us on finding a room for three nights. It was absolutely perfect. Amazing location, tremendous hospitality from beginning to end. Close to the ferry as we spent a day in Capri. Spa was really wonderful..one of my best massages ever. The breakfast was divine and pool area spotless. Would stay again in a heart beat. Special shout out to Stefania at the front desk who was our “go to” got…",3
A marvelously run hotel,50,Date of stay: July 2023,"It was a real pleasure to stay at this hotel. The staff is outstanding and always shows great warmth and professionalism. They go out of their way to be helpful in every way possible. The location is excellent. While facing the port with the huge cruise ships would not be my choice, the location is so central to all the major sites in the city. The breakfasts were excellent. I did not dine in their fine -dining restaurant. There is a small pool with a great view of the harbor. Thank you to the entire staff for making my stay so very enjoyable.",427
