tokens,frequency
hotel,451
room,294
staff,207
great,155
naples,149
view,149
restaurant,141
stay,138
service,120
breakfast,117
pool,104
location,86
nice,83
romeo,82
good,80
night,74
helpful,73
would,73
modern,71
one,71
time,71
spa,70
area,70
well,68
excellent,67
friendly,67
also,59
beautiful,58
amazing,57
really,56
day,56
city,55
food,54
best,54
port,53
star,52
bar,52
stayed,49
comfortable,49
place,47
clean,45
get,45
back,44
lovely,43
ferry,43
top,42
floor,42
bed,42
small,41
wonderful,40
experience,39
like,38
walk,37
see,36
capri,33
front,33
bathroom,33
shower,33
two,33
could,33
close,32
even,32
rooftop,32
every,30
vesuvius,30
made,30
lot,30
perfect,29
decor,28
facility,28
definitely,28
design,28
many,28
trip,28
reception,28
minute,27
light,27
everything,27
high,26
bit,26
around,26
evening,26
much,26
lobby,26
drink,25
way,25
suite,25
michelin,25
quite,25
desk,25
make,24
visit,24
first,24
got,24
cruise,24
loved,23
however,23
want,23
bay,23
ship,23
recommend,23
harbor,22
harbour,22
dinner,22
attentive,21
right,21
ever,21
extremely,21
art,21
need,21
walking,21
fantastic,21
enjoyed,20
booked,20
buffet,20
amenity,20
quality,19
water,19
gym,19
truly,18
space,18
arrival,18
option,18
take,18
amalfi,18
warm,18
staying,17
professional,17
left,17
feel,17
people,17
guest,17
next,17
expensive,17
arrived,17
everyone,17
flight,17
offer,17
spent,17
spacious,16
especially,16
poor,16
better,16
looking,16
little,16
exceptional,16
distance,15
hour,15
although,15
birthday,15
super,15
9th,15
located,15
overall,15
price,15
end,15
open,15
part,15
last,15
use,15
size,15
special,15
fabulous,14
morning,14
luxury,14
still,14
included,14
napoli,14
short,14
nothing,14
enjoy,14
say,14
busy,14
check,14
thing,14
felt,14
easy,14
italy,14
large,14
able,14
look,14
coffee,13
across,13
door,13
welcome,13
coast,13
throughout,13
relaxing,13
ask,13
must,13
closed,13
main,13
english,13
home,13
wait,13
find,13
took,13
gorgeous,13
table,13
manager,13
turn,12
full,12
bad,12
come,12
book,12
taxi,12
appointed,12
etc,12
chocolate,12
early,12
standard,12
return,12
work,12
think,12
delicious,12
choice,12
never,12
far,12
told,12
stunning,12
going,11
leave,11
needed,11
something,11
pleasant,11
egg,11
though,11
euro,11
review,11
sauna,11
found,11
long,11
always,11
street,11
kind,11
francesco,11
enough,11
second,11
taking,11
help,11
another,11
different,11
highly,11
week,11
local,11
building,11
system,11
roof,11
thought,10
absolutely,10
eat,10
accommodating,10
dock,10
