bigram,frequency,bigrams
"('the', 'hotel')",166,the hotel
"('of', 'the')",148,of the
"('and', 'the')",133,and the
"('in', 'the')",123,in the
"('to', 'the')",99,to the
"('the', 'staff')",84,the staff
"('at', 'the')",76,at the
"('on', 'the')",69,on the
"('the', 'room')",68,the room
"('hotel', 'is')",65,hotel is
"('this', 'hotel')",64,this hotel
"('it', 'was')",61,it was
"('from', 'the')",59,from the
"('we', 'had')",59,we had
"('in', 'naples')",56,in naples
"('is', 'a')",51,is a
"('was', 'very')",51,was very
"('room', 'was')",46,room was
"('with', 'a')",45,with a
"('for', 'the')",45,for the
"('was', 'a')",44,was a
"('had', 'a')",44,had a
"('we', 'were')",44,we were
"('it', 's')",42,it s
"('the', 'pool')",41,the pool
"('the', 'spa')",41,the spa
"('for', 'a')",41,for a
"('the', 'romeo')",41,the romeo
"('hotel', 'was')",41,hotel was
"('the', 'best')",39,the best
"('and', 'a')",39,and a
"('all', 'the')",38,all the
"('view', 'of')",38,view of
"('of', 'naples')",37,of naples
"('our', 'stay')",37,our stay
"('in', 'a')",37,in a
"('it', 'is')",37,it is
"('the', 'rooms')",37,the rooms
"('a', 'great')",37,a great
"('our', 'room')",37,our room
"('the', 'breakfast')",36,the breakfast
"('romeo', 'hotel')",35,romeo hotel
"('the', 'port')",35,the port
"('the', 'restaurant')",34,the restaurant
"('staff', 'were')",33,staff were
"('and', 'i')",32,and i
"('staff', 'was')",32,staff was
"('the', 'location')",31,the location
"('to', 'be')",31,to be
"('the', 'view')",30,the view
"('i', 'would')",29,i would
"('the', 'service')",28,the service
"('with', 'the')",28,with the
"('and', 'very')",27,and very
"('friendly', 'and')",27,friendly and
"('to', 'stay')",26,to stay
"('but', 'the')",26,but the
"('were', 'very')",25,were very
"('i', 'was')",25,i was
"('rooms', 'are')",25,rooms are
"('this', 'is')",25,this is
"('one', 'of')",25,one of
"('hotel', 'with')",25,hotel with
"('close', 'to')",25,close to
"('hotel', 'and')",24,hotel and
"('a', 'bit')",24,a bit
"('the', 'city')",24,the city
"('to', 'get')",23,to get
