tokens,frequency,relative_frequency
hotel,431,0.032489069802502636
room,210,0.015829941203075532
staff,204,0.015377657168701944
great,155,0.011684004221317655
naples,149,0.011231720186944067
stay,138,0.010402532790592492
service,118,0.008894919342680536
breakfast,114,0.008593396653098146
view,112,0.00844263530830695
restaurant,111,0.008367254635911352
pool,98,0.0073873058947685815
rooms,84,0.006331976481230212
nice,83,0.006256595808834615
location,83,0.006256595808834615
romeo,82,0.006181215136439017
good,80,0.006030453791647822
would,73,0.005502789084878637
helpful,73,0.005502789084878637
modern,71,0.0053520277400874415
one,71,0.0053520277400874415
spa,70,0.005276647067691844
well,68,0.005125885722900648
excellent,67,0.005050505050505051
friendly,67,0.005050505050505051
area,59,0.004447459671340268
also,59,0.004447459671340268
time,59,0.004447459671340268
beautiful,58,0.004372078998944671
amazing,57,0.004296698326549073
really,56,0.004221317654153475
best,54,0.004070556309362279
city,52,0.003919794964571084
port,52,0.003919794964571084
night,52,0.003919794964571084
star,51,0.003844414292175486
food,51,0.003844414292175486
comfortable,49,0.0036936529473842908
stayed,49,0.0036936529473842908
day,45,0.0033921302578018998
back,44,0.003316749585406302
bar,44,0.003316749585406302
clean,44,0.003316749585406302
lovely,43,0.003241368913010704
get,42,0.003165988240615106
top,42,0.003165988240615106
small,41,0.0030906075682195083
wonderful,40,0.003015226895823911
floor,39,0.002939846223428313
like,38,0.002864465551032715
views,37,0.0027890848786371173
see,36,0.0027137042062415195
walk,36,0.0027137042062415195
place,35,0.002638323533845922
experience,35,0.002638323533845922
capri,33,0.0024875621890547263
front,33,0.0024875621890547263
could,33,0.0024875621890547263
two,33,0.0024875621890547263
shower,33,0.0024875621890547263
rooftop,32,0.0024121815166591285
even,32,0.0024121815166591285
ferry,31,0.002336800844263531
close,31,0.002336800844263531
made,30,0.002261420171867933
vesuvius,30,0.002261420171867933
restaurants,30,0.002261420171867933
every,30,0.002261420171867933
perfect,29,0.0021860394994723353
definitely,28,0.0021106588270767375
